Ben Gannon-Doak (SCO, players)
Gerónimo Rulli (ARG, players)
Ghislain Konan (CIV, players)
Gideon Mensah (GHA, players)
Graham James Arnold (IRQ, coaches)
Hannibal (TUN, players)
Kelvin Pires (CPV, players)
Ken Sema (SWE, players)
Kendry Paez (ECU, players)
Kenji Gorré (CUW, players)
Manuel Akanji (SUI, players)
Marawan Attia (EGY, players)
