Ricardo RODRIGUEZ - Defender
Eray COEMERT - Defender
Aurele AMENDA - Defender
Luca JAQUEZ - Defender
Denis ZAKARIA - Midfielder
Remo FREULER - Midfielder
Johan MANZAMBI - Midfielder
Granit XHAKA - Midfielder
Ardon JASHARI - Midfielder
Djibril SOW - Midfielder
Michel AEBISCHER - Midfielder
Fabian RIEDER - Midfielder
Breel EMBOLO - Forward
Dan NDOYE - Forward
Christian FASSNACHT - Forward
Ruben VARGAS - Forward
Noah OKAFOR - Forward
Zeki AMDOUNI - Forward
Cedric ITTEN - Forward

Brazil
Тренер: Carlo Ancelotti
ALISSON - Goalkeeper
WEVERTON - Goalkeeper
EDERSON - Goalkeeper
GABRIEL MAGALHAES - Defender
MARQUINHOS - Defender
ALEX SANDRO - Defender
DANILO - Defender
BREMER - Defender
LEO PEREIRA - Defender
DOUGLAS SANTOS - Defender
ROGER IBANEZ - Defender
EDERSON SILVA - Midfielder
CASEMIRO - Midfielder
BRUNO GUIMARAES - Midfielder
FABINHO - Midfielder
DANILO SANTOS - Midfielder
LUCAS PAQUETA - Midfielder
VINICIUS JUNIOR - Forward
MATHEUS CUNHA - Forward
NEYMAR JR - Forward
RAPHINHA - Forward
ENDRICK - Forward
LUIZ HENRIQUE - Forward
GABRIEL MARTINELLI - Forward
IGOR THIAGO - Forward
RAYAN - Forward

Morocco
Тренер: Mohamed OUAHBI
Yassine BOUNOU - Goalkeeper
Munir EL KAJOUI - Goalkeeper
Ahmed Reda TAGNAOUTI - Goalkeeper
Achraf HAKIMI - Defender
Noussair MAZRAOUI - Defender
Nayef AGUERD - Defender
Zakaria EL OUAHDI - Defender
Issa Diop - Defender
Chadi RIAD - Defender
Youssef BELAMMARI - Defender
Redouane HALHAL - Defender
Anass SALAH EDDINE - Defender
Sofyan AMRABAT - Midfielder
Ayyoub BOUADDI - Midfielder
Chemsdine TALBI - Midfielder
Azzedine OUNAHI - Midfielder
Ismael SAIBARI - Midfielder
Samir EL MOURABET - Midfielder
Gessime YASSINE - Midfielder
Bilal EL KHANNOUSS - Midfielder
Neil EL AYNAOUI - Midfielder
Soufiane RAHIMI - Forward
Brahim DIAZ - Forward
Abde EZZALZOULI - Forward
Ayoub El Kaabi - Forward
Ayoube AMAIMOUNI - Forward

Haiti
Тренер: Sebastien MIGNE
Johny Placide - Goalkeeper
Alexandre PIERRE - Goalkeeper
Josue DUVERGER - Goalkeeper
Carlens ARCUS - Defender
Keeto THERMONCY - Defender
Ricardo Ade - Defender
Hannes DELCROIX - Defender
Martin EXPERIENCE - Defender
Markhus LACROIX - Defender
Jean-Kevin DUVERNE - Defender
Wilguens PAUGAIN - Defender
Carl SAINTE - Midfielder
Jean-Ricner Bellegarde - Midfielder
Leverton PIERRE - Midfielder
Danley JEAN JACQUES - Midfielder
Dominique SIMON - Midfielder
Woodensky PIERRE - Midfielder
Derrick ETIENNE - Forward
Duckens NAZON - Forward
Louicius DEEDSON - Forward
Ruben PROVIDENCE - Forward
Lenny JOSEPH - Forward
Wilson Isidor - Forward
Yassin FORTUNE - Forward
Frantzdy Pierrot - Forward
Josue CASIMIR - Forward

Scotland
Тренер: Stephen Clark
Angus Gunn - Goalkeeper
Liam KELLY - Goalkeeper
Craig GORDON - Goalkeeper
Aaron HICKEY - Defender
Andy ROBERTSON - Defender
Grant Hanley - Defender
Kieran Tierney - Defender
Jack Hendry - Defender
John SOUTTAR - Defender
Dominic HYAM - Defender
Nathan PATTERSON - Defender
Anthony RALSTON - Defender
Scott MCKENNA - Defender
Scott McTominay - Midfielder
John McGinn - Midfielder
Tyler FLETCHER - Midfielder
Ryan Christie - Midfielder
Lewis FERGUSON - Midfielder
Kenny McLEAN - Midfielder
Lyndon DYKES - Forward
Che Adams - Forward
Ross STEWART - Forward
Ben GANNON-DOAK - Forward
George HIRST - Forward
Lawrence SHANKLAND - Forward
Findlay CURTIS - Forward

USA
Тренер: Mauricio POCHETTINO
Matt TURNER - Goalkeeper
Matt FREESE - Goalkeeper
Chris BRADY - Goalkeeper
Sergino DEST - Defender
Chris RICHARDS - Defender
Antonee ROBINSON - Defender
Auston TRUSTY - Defender
Miles ROBINSON - Defender
Tim REAM - Defender
Alex FREEMAN - Defender
Max ARFSTEN - Defender
Mark McKENZIE - Defender
Joe SCALLY - Defender
Tyler ADAMS - Midfielder
Giovanni REYNA - Midfielder
Weston McKENNIE - Midfielder
Sebastian BERHALTER - Midfielder
Cristian ROLDAN - Midfielder
Malik TILLMAN - Midfielder
Ricardo PEPI - Forward
Christian PULISIC - Forward
Brenden AARONSON - Forward
Haji WRIGHT - Forward
Folarin BALOGUN - Forward
Timothy WEAH - Forward
Alex ZENDEJAS - Forward

Paraguay
Тренер: Gustavo ALFARO
Gatito FERNANDEZ - Goalkeeper
Orlando GILL - Goalkeeper
Gaston OLVEIRA - Goalkeeper
Gustavo VELAZQUEZ - Defender
Omar ALDERETE - Defender
Juan Jose CACERES - Defender
Fabian BALBUENA - Defender
Junior ALONSO - Defender
Jose CANALE - Defender
Gustavo GOMEZ - Defender
Alexandro MAIDANA - Defender
Ramon SOSA - Midfielder
Diego GOMEZ - Midfielder
Miguel ALMIRON - Midfielder
MAURICIO - Midfielder
Andres CUBAS - Midfielder
Damian BOBADILLA - Midfielder
Braian OJEDA - Midfielder
Matias GALARZA - Midfielder
Gustavo CABALLERO - Midfielder
Antonio SANABRIA - Forward
Alejandro ROMERO GAMARRA - Forward
Alex ARCE - Forward
Julio ENCISO - Forward
Gabriel AVALOS - Forward
Isidro PITTA - Forward

Australia
Тренер: Tony Popović
Mathew RYAN - Goalkeeper
Paul Izzo - Goalkeeper
Patrick BEACH - Goalkeeper
Milos DEGENEK - Defender
Alessandro CIRCATI - Defender
Jacob ITALIANO - Defender
Jordan BOS - Defender
Jason GERIA - Defender
Kai TREWIN - Defender
Aziz BEHICH - Defender
Harry SOUTTAR - Defender
Cameron BURGESS - Defender
Lucas HERRINGTON - Defender
Connor METCALFE - Midfielder
Aiden ONEILL - Midfielder
Cameron DEVLIN - Midfielder
Jackson IRVINE - Midfielder
Paul OKON-ENGSTLER - Midfielder
Mathew LECKIE - Forward
Mohamed TOURE - Forward
Ajdin HRUSTIC - Forward
Awer MABIL - Forward
Nestory IRANKUNDA - Forward
Cristian VOLPATO - Forward
Nishan VELUPILLAY - Forward
Tete YENGI - Forward

Türkiye
Тренер: Vincenzo MONTELLA
Mert GUNOK - Goalkeeper
Altay BAYINDIR - Goalkeeper
Ugurcan CAKIR - Goalkeeper
Zeki CELIK - Defender
Merih DEMIRAL - Defender
Caglar SOYUNCU - Defender
Eren ELMALI - Defender
Abdulkerim BARDAKCI - Defender
Ozan KABAK - Defender
Mert MULDUR - Defender
Ferdi KADIOGLU - Defender
Samet AKAYDIN - Defender
Salih OZCAN - Midfielder
Orkun KOKCU - Midfielder
Hakan CALHANOGLU - Midfielder
Ismail YUKSEK - Midfielder
Kaan Ayhan - Midfielder
Kerem AKTURKOGLU - Forward
Arda GULER - Forward
Deniz GUL - Forward
Kenan YILDIZ - Forward
Irfan Can KAHVECI - Forward
Yunus AKGUN - Forward
Baris Alper YILMAZ - Forward
Oguz AYDIN - Forward
Can UZUN - Forward

Germany
Тренер: Julian NAGELSMANN
Manuel NEUER - Goalkeeper
Oliver Baumann - Goalkeeper
Alexander NUEBEL - Goalkeeper
Antonio RUEDIGER - Defender
Waldemar ANTON - Defender
Jonathan TAH - Defender
Joshua KIMMICH - Defender
Nico SCHLOTTERBECK - Defender
Nathaniel BROWN - Defender
David RAUM - Defender
Malick THIAW - Defender
Aleksandar PAVLOVIC - Midfielder
Leon GORETZKA - Midfielder
Jamie LEWELING - Midfielder
Jamal MUSIALA - Midfielder
Pascal GROSS - Midfielder
Angelo Stiller - Midfielder
Florian WIRTZ - Midfielder
Leroy SANE - Midfielder
Nadiem Amiri - Midfielder
Felix NMECHA - Midfielder
Assan OUEDRAOGO - Midfielder
Kai HAVERTZ - Forward
Nick WOLTEMADE - Forward
Maximilian BEIER - Forward
Deniz UNDAV - Forward

Curaçao
Тренер: Dick ADVOCAAT
Eloy ROOM - Goalkeeper
Tyrick BODAK - Goalkeeper
Trevor DOORNBUSCH - Goalkeeper
Shurandy SAMBO - Defender
Jurien GAARI - Defender
Roshon VAN EIJMA - Defender
Sherel FLORANUS - Defender
Armando OBISPO - Defender
Joshua BRENET - Defender
Riechedly Bazoer - Defender
Deveron FONVILLE - Defender
Godfried ROEMERATOE - Midfielder
Juninho BACUNA - Midfielder
Livano COMENENCIA - Midfielder
Leandro BACUNA - Midfielder
Arjany MARTHA - Midfielder
Tahith CHONG - Midfielder
Kevin FELIDA - Midfielder
Juergen LOCADIA - Forward
Jeremy Antonisse - Forward
Sontje HANSEN - Forward
Tyrese NOSLIN - Forward
Kenji GORRE - Forward
Jearl MARGARITHA - Forward
Brandley KUWAS - Forward
Gervane KASTANEER - Forward

Côte d'Ivoire
Тренер: Emerse FAE
Yahia Fofana - Goalkeeper
Mohamed KONE - Goalkeeper
Alban Lafont - Goalkeeper
Ousmane DIOMANDE - Defender
Ghislain KONAN - Defender
Wilfried SINGO - Defender
Odilon KOSSOUNOU - Defender
Christopher OPERI - Defender
Guela DOUE - Defender
Emmanuel AGBADOU - Defender
Evan NDICKA - Defender
Jean Michael SERI - Midfielder
Seko Fofana - Midfielder
Franck KESSIE - Midfielder
Ibrahim SANGARE - Midfielder
Parfait GUIAGON - Midfielder
Christ Inao OULAI - Midfielder
Ange-Yoan BONNY - Forward
Simon ADINGRA - Forward
Yan DIOMANDE - Forward
Elye WAHI - Forward
Oumar DIAKITE - Forward
Amad DIALLO - Forward
Nicolas PEPE - Forward
Evann GUESSAND - Forward
Bazoumana TOURE - Forward

Ecuador
Тренер: Sebastián Andrés Beccacece
Hernan GALINDEZ - Goalkeeper
Moises RAMIREZ - Goalkeeper
Gonzalo VALLE - Goalkeeper
Felix TORRES - Defender
Piero HINCAPIE - Defender
Joel ORDONEZ - Defender
Willian PACHO - Defender
Pervis ESTUPINAN - Defender
Angelo PRECIADO - Defender
Jackson POROZO - Defender
Yaimar MEDINA - Defender
Jordy ALCIVAR - Midfielder
Anthony VALENCIA - Midfielder
Kendry PAEZ - Midfielder
Alan MINDA - Midfielder
Pedro VITE - Midfielder
Denil CASTILLO - Midfielder
Alan FRANCO - Midfielder
Moises CAICEDO - Midfielder
John YEBOAH - Forward
Kevin RODRIGUEZ - Forward
Enner VALENCIA - Forward
Jordy CAICEDO - Forward
Gonzalo PLATA - Forward
Nilson ANGULO - Forward
Jeremy AREVALO - Forward

Netherlands
Тренер: Ronald KOEMAN
Bart Verbruggen - Goalkeeper
Robin ROEFS - Goalkeeper
Mark FLEKKEN - Goalkeeper
Lutsharel GEERTRUIDA - Defender
Virgil VAN DIJK - Defender
Nathan AKE - Defender
Jan Paul VAN HECKE - Defender
Mats WIEFFER - Defender
Micky VAN DE VEN - Defender
Denzel DUMFRIES - Defender
Jorrel HATO - Defender
Marten DE ROON - Midfielder
Justin KLUIVERT - Midfielder
Ryan GRAVENBERCH - Midfielder
Tijjani REIJNDERS - Midfielder
Guus TIL - Midfielder
Teun KOOPMEINERS - Midfielder
Frenkie DE JONG - Midfielder
Quinten TIMBER - Midfielder
Wout WEGHORST - Forward
Memphis DEPAY - Forward
Cody GAKPO - Forward
Noa LANG - Forward
Donyell Malen - Forward
Brian BROBBEY - Forward
Crysencio SUMMERVILLE - Forward

Japan
Тренер: Hajime Moriyasu
Zion Suzuki - Goalkeeper
Keisuke OSAKO - Goalkeeper
Tomoki HAYAKAWA - Goalkeeper
Yukinari Sugawara - Defender
Shogo TANIGUCHI - Defender
Kou ITAKURA - Defender
Yuto NAGATOMO - Defender
Tsuyoshi Watanabe - Defender
Ayumu SEKO - Defender
Hiroki ITO - Defender
Takehiro TOMIYASU - Defender
Junnosuke SUZUKI - Defender
Wataru ENDO - Midfielder
Ao TANAKA - Midfielder
Takefusa KUBO - Midfielder
Ritsu DOAN - Midfielder
Daizen MAEDA - Midfielder
Keito Nakamura - Midfielder
Junya ITO - Midfielder
Daichi KAMADA - Midfielder
Yuito SUZUKI - Midfielder
Kaishu SANO - Midfielder
Keisuke GOTO - Forward
Ayase UEDA - Forward
Koki OGAWA - Forward
Kento SHIOGAI - Forward

Sweden
Тренер: Graham POTTER
Jacob WIDELL ZETTERSTROM - Goalkeeper
Viktor JOHANSSON - Goalkeeper
Kristoffer NORDFELDT - Goalkeeper
Gustaf LAGERBIELKE - Defender
Victor LINDELOF - Defender
Isak HIEN - Defender
Gabriel GUDMUNDSSON - Defender
Herman JOHANSSON - Defender
Daniel SVENSSON - Defender
Hjalmar EKDAL - Defender
Carl STARFELT - Defender
Eric SMITH - Defender
Alexander BERNHARDSSON - Defender
Elliot STROUD - Defender
Lucas BERGVALL - Midfielder
Benjamin NYGREN - Midfielder
Ken SEMA - Midfielder
Jesper KARLSTROM - Midfielder
Yasin AYARI - Midfielder
Mattias SVANBERG - Midfielder
Besfort ZENELI - Midfielder
Alexander Isak - Forward
Anthony ELANGA - Forward
Viktor GYOKERES - Forward
Gustaf NILSSON - Forward
Taha ALI - Forward

Tunisia
Тренер: Sabri LAMOUCHI
Mouhib CHAMAKH - Goalkeeper
Aymen DAHMEN - Goalkeeper
Sabri BEN HESSEN - Goalkeeper
Ali ABDI - Defender
Montassar TALBI - Defender
Omar Rekik - Defender
Adam AROUS - Defender
Dylan BRONN - Defender
Mortadha BEN OUANES - Defender
Yan Valery - Defender
Mohamed Amine BEN HMIDA - Defender
Moutaz NEFFATI - Defender
Raed CHIKHAOUI - Defender
Hannibal MEJBRI - Midfielder
Ismael GHARBI - Midfielder
Rani Khedira - Midfielder
Khalil AYARI - Midfielder
Mohamed HADJ MAHMOUD - Midfielder
Ellyes SKHIRI - Midfielder
Anis SLIMANE - Midfielder
Sebastian TOUNEKTI - Midfielder
Elias ACHOURI - Forward
Elias SAAD - Forward
Hazem MASTOURI - Forward
Rayan ELLOUMI - Forward
Firas CHAOUAT - Forward

Belgium
Тренер: Rudi GARCIA
Thibaut COURTOIS - Goalkeeper
Senne LAMMENS - Goalkeeper
Mike PENDERS - Goalkeeper
Zeno DEBAST - Defender
Arthur THEATE - Defender
Brandon MECHELE - Defender
Maxim DE CUYPER - Defender
Thomas MEUNIER - Defender
Koni DE WINTER - Defender
Joaquin SEYS - Defender
Timothy CASTAGNE - Defender
Nathan NGOY - Defender
Axel WITSEL - Midfielder
Kevin DE BRUYNE - Midfielder
Youri TIELEMANS - Midfielder
Diego MOREIRA - Midfielder
Hans VANAKEN - Midfielder
Alexis SAELEMAEKERS - Midfielder
Nicolas RASKIN - Midfielder
Amadou Onana - Midfielder
Romelu LUKAKU - Forward
Leandro TROSSARD - Forward
Jeremy DOKU - Forward
Dodi LUKEBAKIO - Forward
Charles DE KETELAERE - Forward
Matias FERNANDEZ-PARDO - Forward

Egypt
Тренер: Hossam Hassan Hussein
MOHAMED ELSHENAWY - Goalkeeper
MAHDY SOLIMAN - Goalkeeper
MOSTAFA SHOUBIR - Goalkeeper
MOHAMED ALAA - Goalkeeper
YASSER IBRAHIM - Defender
MOHAMED HANY - Defender
HOSSAM ABDELMAGUID - Defender
RAMY RABIA - Defender
MOHAMED ABDELMONEIM - Defender
AHMED FATOUH - Defender
KARIM HAFEZ - Defender
TAREK ALAA - Defender
EMAM ASHOUR - Midfielder
MOSTAFA ZICO - Midfielder
HAMDY FATHY - Midfielder
MOHANAD LASHIN - Midfielder
NABIL DONGA - Midfielder
MARAWAN ATTIA - Midfielder
MAHMOUD SABER - Midfielder
TREZEGUET - Forward
HAMZA ABDELKARIM - Forward
MOHAMED SALAH - Forward
Haissem HASSAN - Forward
IBRAHIM ADEL - Forward
OMAR MARMOUSH - Forward
ZIZO - Forward

IR Iran
Тренер: Amir Ghalenoei
Alireza BEIRANVAND - Goalkeeper
Payam NIAZMAND - Goalkeeper
Hossein HOSSEINI - Goalkeeper
Saleh HARDANI - Defender
Ehsan HAJISAFI - Defender
Shoja KHALILZADEH - Defender
Milad MOHAMMADI - Defender
Hossein KANANI - Defender
Arya YOUSEFI - Defender
Ali NEMATI - Defender
Ramin REZAEIAN - Defender
Danial IRI - Defender
Saeid EZATOLAHI - Midfielder
Alireza JAHANBAKHSH - Midfielder
Mohammad MOHEBBI - Midfielder
Saman GHODDOS - Midfielder
Roozbeh CHESHMI - Midfielder
Mehdi TORABI - Midfielder
Mohammad GHORBANI - Midfielder
Amirmohammad RAZAGHINIA - Midfielder
Mehdi TAREMI - Forward
Mehdi GHAYEDI - Forward
Ali Alipour - Forward
Amirhossein Hosseinzadeh - Forward
Shahriyar MOGHANLOO - Forward
Dennis DARGAHI - Forward

New Zealand
Тренер: Darren BAZELEY
Max CROCOMBE - Goalkeeper
Alex PAULSEN - Goalkeeper
Michael WOUD - Goalkeeper
Tim PAYNE - Defender
Francis DE VRIES - Defender
Tyler BINDON - Defender
Michael BOXALL - Defender
Liberato CACACE - Defender
Nando PIJNAKER - Defender
Finn SURMAN - Defender
Callan ELLIOT - Defender
Tommy SMITH - Defender
Joe BELL - Midfielder
Matthew GARBETT - Midfielder
Marko STAMENIC - Midfielder
Sarpreet SINGH - Midfielder
Elijah JUST - Midfielder
Alex RUFER - Midfielder
Ben OLD - Midfielder
Callum McCOWATT - Midfielder
Ryan THOMAS - Midfielder
Lachlan BAYLISS - Midfielder
Chris WOOD - Forward
Kosta BARBAROUSES - Forward
Ben WAINE - Forward
Jesse RANDALL - Forward

Spain
Тренер: Luis de la Fuente Castillo
David RAYA - Goalkeeper
Joan GARCIA - Goalkeeper
Unai SIMON - Goalkeeper
Marc PUBILL - Defender
Alex GRIMALDO - Defender
Eric GARCIA - Defender
Marcos LLORENTE - Defender
Pedro PORRO - Defender
Aymeric LAPORTE - Defender
Pau CUBARSI - Defender
Marc CUCURELLA - Defender
Mikel MERINO - Midfielder
Fabian RUIZ - Midfielder
GAVI - Midfielder
Alex BAENA - Midfielder
